method,Beale n=2,Himmelblau n=2,Logistic (p=30),Rosenbrock n=100,Rosenbrock n=2,Rosenbrock n=200,Rosenbrock n=50
cn2,1.56e-22,2.72e-24,1.03e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00
newton,1.42e+01,2.72e-24,1.03e-01,2.14e-22,3.75e-21,5.09e-01,2.42e-21
newton_cg,1.14e-18,4.12e-24,1.03e-01,2.08e-20,9.48e-21,2.54e-01,7.79e-21
lbfgs,7.34e-20,1.02e-21,1.03e-01,2.43e-19,3.91e-25,3.99e+00,7.65e-19
nag,8.99e-17,8.56e-20,1.03e-01,7.03e-15,1.18e-16,2.95e-15,9.13e-15
gd,1.65e-16,1.08e-19,1.03e-01,2.57e+01,3.85e-07,1.25e+02,1.93e-03
