method,Beale n=2,Himmelblau n=2,Logistic (p=30),Rosenbrock n=100,Rosenbrock n=2,Rosenbrock n=200,Rosenbrock n=50
cn2,9.88e+02,1.17e+02,1.25e+03,2.93e+04,1.36e+04,3.94e+04,2.42e+04
newton,0.00e+00,1.00e+01,1.60e+01,3.45e+02,4.90e+01,6.42e+02,1.90e+02
newton_cg,6.40e+01,3.10e+01,8.43e+03,4.69e+03,1.48e+02,8.80e+03,2.45e+03
lbfgs,3.30e+01,2.60e+01,7.70e+01,3.50e+02,1.37e+03,1.88e+04,5.59e+02
nag,1.16e+03,1.94e+02,9.36e+02,3.03e+04,1.30e+04,3.01e+04,3.02e+04
gd,5.36e+03,6.80e+01,9.72e+03,1.78e+04,1.44e+04,1.78e+04,1.78e+04
