method,Beale n=2,Himmelblau n=2,Logistic (p=30),Rosenbrock n=100,Rosenbrock n=2,Rosenbrock n=200,Rosenbrock n=50
cn2,5.00e-03,1.00e-03,6.38e-01,9.53e-01,1.04e-01,2.29e+00,4.19e-01
newton,0.00e+00,0.00e+00,2.19e-01,5.90e-02,1.00e-03,2.84e-01,1.50e-02
newton_cg,1.00e-03,0.00e+00,5.58e+00,5.07e+00,4.00e-03,2.03e+01,1.34e+00
lbfgs,1.00e-03,0.00e+00,5.00e-03,2.80e-02,3.10e-02,3.85e-01,3.30e-02
nag,7.00e-03,1.00e-03,2.20e-02,1.17e+00,1.00e-01,2.12e+00,6.90e-01
gd,3.50e-02,0.00e+00,2.65e-01,6.26e-01,1.37e-01,1.10e+00,3.90e-01
