method,Beale n=2,Himmelblau n=2,Logistic (p=30),Rosenbrock n=100,Rosenbrock n=2,Rosenbrock n=200,Rosenbrock n=50
cn2,3.40e+02,2.70e+01,4.05e+02,5.38e+03,2.86e+03,7.10e+03,4.46e+03
newton,0.00e+00,5.00e+00,8.00e+00,1.62e+02,2.10e+01,3.00e+02,8.90e+01
newton_cg,9.00e+00,5.00e+00,1.87e+02,1.64e+02,2.40e+01,3.00e+02,9.10e+01
lbfgs,1.40e+01,1.00e+01,3.80e+01,1.65e+02,6.74e+02,1.00e+03,2.68e+02
nag,3.68e+02,4.30e+01,3.12e+02,5.00e+03,2.63e+03,5.00e+03,5.00e+03
gd,2.68e+03,2.10e+01,4.86e+03,5.00e+03,5.00e+03,5.00e+03,5.00e+03
